metric,n_neighbors,min_dist,trustworthiness_k5,trustworthiness_k15,trustworthiness_k50,fit_time
euclidean,10,0.0,0.9809984332878212,0.9783739562395816,0.9714809117993487,34.34064374677837
euclidean,10,0.1,0.9760196529568348,0.9735156313476537,0.9676938297441022,13.272595162969083
euclidean,10,0.3,0.9627666412566808,0.9616927064390135,0.9580232771051026,13.563867188058794
euclidean,10,0.5,0.9529580550128205,0.9523749574283942,0.9486694535291815,13.605593563988805
euclidean,20,0.0,0.9772501005260865,0.9751887779505313,0.9702029549165142,19.456021185964346
euclidean,20,0.1,0.9729196824846646,0.9714670823872337,0.9678829858934994,17.621208288241178
euclidean,20,0.3,0.9548495013848898,0.9534701634785178,0.9505482046263051,17.57685258006677
euclidean,20,0.5,0.9431165615882952,0.9416750699142263,0.9390864378904484,17.58076143404469
euclidean,30,0.0,0.9752059728833689,0.9734297960037936,0.9694080210261911,21.704549121670425
euclidean,30,0.1,0.9701401190145262,0.9690160912944078,0.9653644692307484,21.93814624287188
euclidean,30,0.3,0.9533089306615742,0.952113080159097,0.9491587132023015,21.586465822998434
euclidean,30,0.5,0.9406537247759189,0.9400379129746119,0.9376014468461364,21.59279369516298
euclidean,50,0.0,0.9722397490763752,0.9706233138204201,0.9672265884756267,27.88136286009103
euclidean,50,0.1,0.9676371040532323,0.9669522561116876,0.9639982203669443,27.824256883002818
euclidean,50,0.3,0.9522883653502497,0.951694404807411,0.9490917715723985,28.180114372167736
euclidean,50,0.5,0.9352226336686555,0.9341787670220214,0.9320263636141379,28.002831152174622
euclidean,100,0.0,0.9702830003829934,0.9692822183004925,0.9666457891351239,47.343897924758494
euclidean,100,0.1,0.9635749594102083,0.9626239928504259,0.9603149230544075,47.390596196986735
euclidean,100,0.3,0.9455782159507364,0.9445320636909381,0.9421655733346752,47.375712170265615
euclidean,100,0.5,0.9301821792503588,0.9298096078930026,0.9280957067648319,47.78712696908042
cosine,10,0.0,0.9802005865792238,0.9768421850349285,0.9692314434906825,20.450729105155915
cosine,10,0.1,0.9744512227252241,0.9720360874080404,0.9657563469298013,12.813243901357055
cosine,10,0.3,0.9584152955053461,0.9569749611444487,0.9517948377010765,12.75980535382405
cosine,10,0.5,0.9431720569838687,0.9421926181581612,0.9378830915492418,12.617113544140011
cosine,20,0.0,0.9781659518412429,0.9763129393797183,0.9713086435148429,17.728072854224592
cosine,20,0.1,0.9741633644758451,0.9725723409769129,0.9682778376447289,17.627944227773696
cosine,20,0.3,0.9590142842229126,0.9580701472466586,0.9541070955069239,17.79115759115666
cosine,20,0.5,0.9434237402856903,0.9430046678042568,0.9398563650177624,18.408839053940028
cosine,30,0.0,0.9753808696672314,0.9738088224590116,0.9694521790066241,21.951198185794055
cosine,30,0.1,0.9721096356296612,0.9707508623675785,0.9664786658555171,21.755544550251216
cosine,30,0.3,0.9566044609979883,0.9554504392685502,0.9521651987793631,21.842433185782284
cosine,30,0.5,0.9401945950313166,0.9390899462537466,0.936441392007224,21.844199359882623
cosine,50,0.0,0.974914314662672,0.9734260423202394,0.9694146124775617,26.964529004879296
cosine,50,0.1,0.9703484807854803,0.9688185853382365,0.9653278040369662,26.723259216174483
cosine,50,0.3,0.9526455755684093,0.9515762910189649,0.9483610721269845,27.052705101668835
cosine,50,0.5,0.9368587055194476,0.9363079621485617,0.934029165350547,26.94075845507905
cosine,100,0.0,0.971813380830256,0.9706082594170569,0.9673945187150873,49.18740770500153
cosine,100,0.1,0.9658746668433431,0.9646002472468347,0.9610980137597543,48.05674996692687
cosine,100,0.3,0.9516316135342169,0.9508862682770587,0.9485070403917657,46.943646736908704
cosine,100,0.5,0.9370837951393367,0.9365420763044423,0.934534619901338,46.55609630793333
