site,n_obs,rmse_log,mae_log,r2_log
115553_48392,361,0.48496774214693505,0.3720280872498288,0.3822144305118571
114021_46842,362,0.59166611553614,0.48716333043124127,-0.44753168345279026
114158_46244,364,0.8295956219892768,0.6925607924881164,-0.07544748133217394
115324_47594,362,0.4943918014142925,0.38721291627834264,-0.033684113115623804
112501_46003,365,0.7871359068016299,0.6392979861528291,-0.1055329925596935
111092_44658,361,0.9664449173268275,0.7887020740566074,-1.4798304672154008
113484_47177,365,0.6253462117329871,0.5095374341534492,0.3019604441939703
112013_46659,365,0.6083395087161666,0.4907316743321127,0.050550038372324524
111303_47494,365,0.387302948267435,0.29225000058449435,0.11831746110089669
111056_45684,352,0.6291938029364132,0.5460346269628839,-1.055588298591371
114224_47013,365,0.49301995625797523,0.40730722512206213,-0.07153868039585798
105370_45440,362,0.38987938184240695,0.3024221081852505,0.3283917232673116
106490_45366,357,0.44277763467065906,0.3428140999136268,0.2992534909143072
114189_48364,361,0.5853737309816206,0.4469900147252613,0.29474305356689057
111987_46850,346,0.534460626119547,0.41875992664538286,0.24457990705634036
109455_47049,357,0.46931014226737433,0.37357436983630443,-0.03846132510059075
107862_48318,365,0.43856804857563714,0.33337689105658763,0.2706725983354339
104677_47868,365,0.48300369719884806,0.38246733478209194,0.015785013956339022
113155_47122,110,0.5363474274773469,0.3908907796091707,0.19763431004916698
114001_45860,118,0.3631189750391458,0.3067891283959169,0.4822793351707285
115672_47955,106,0.3999129537459595,0.31935452161522265,0.3681568510668233
114270_47773,93,0.3905243466717292,0.3212118942056884,0.3844721315178261
106557_45648,120,0.5293822529507084,0.4452850266927911,-0.5361361775815927
105103_48308,93,0.4404599317570895,0.36710237735527756,0.16999590720612412
111712_46826,94,0.48125620720879053,0.4034552658871318,0.1618236228783141
108720_47582,107,0.4008055345140161,0.310991523119456,0.2780091182310772
113997_48510,106,0.4625196471438181,0.3777324484358086,0.07968810124569947
104476_48487,104,0.3492491929552999,0.26786591301389884,0.3663330768952143
