fold,site,period_init_std,period_learned_std,period_learned_days
0,115553_48392,3.4704714047602154,1.3667962551116943,143.84856521070773
1,114021_46842,3.470416627644535,1.5152384042739868,159.4738864355629
2,114158_46244,3.471408299714728,1.4687036275863647,154.53209581252756
3,115324_47594,3.4682534143480046,1.8349894285202026,193.2470926127525
4,112501_46003,3.470100931717893,1.783393144607544,187.71337171032482
5,111092_44658,3.469824235992904,1.4970836639404297,157.590059629568
6,112013_46659,3.470100931717893,1.7975918054580688,189.20787027901252
7,111303_47494,3.470452879357926,1.4755526781082153,155.29547134457474
8,111056_45684,3.470355529602445,0.8983474969863892,94.54980058249748
9,114224_47013,3.4732911826027246,1.8262494802474976,192.04771140453337
10,105370_45440,3.4701644942017515,1.2552800178527832,132.12371554340297
11,106490_45366,3.471789482446861,0.9417195320129395,99.07370847419773
12,114189_48364,3.4704253241032252,1.830059289932251,192.60727237243754
13,111987_46850,3.472290738682133,1.5612558126449585,164.22838076773556
14,109455_47049,3.4689559446805784,1.83540940284729,193.2521758940071
15,107862_48318,3.470515992720437,0.8882821798324585,93.48611758722436
16,104677_47868,3.4729786112362997,1.4930214881896973,157.01971120610025
17,108720_47582,3.467213958253058,1.8034332990646362,189.98078007716714
18,113997_48510,3.4680777299293117,1.735477328300476,182.77649566253206
19,111712_46826,3.470956762613601,2.1347880363464355,224.64449533747705
20,113155_47122,3.468330156211981,1.4535984992980957,153.07852135060114
21,114001_45860,3.4689574252357662,2.040825128555298,214.88052081070467
22,115672_47955,3.4688580253609302,1.020100712776184,107.41050300054685
23,104476_48487,3.4678840928548427,2.1168432235717773,222.9535263311221
24,114270_47773,3.4695804478985086,1.0692505836486816,112.56224824365424
25,105103_48308,3.467808187807031,1.8397480249404907,193.77310673415667
26,106557_45648,3.4690643859255355,1.4689950942993164,154.66719510012072
27,113484_47177,3.4697015480962525,2.3517401218414307,247.5639669855414
