fold,site,n_train,n_test,train_time,infer_time,fold_time,stopped_epoch
0,115553_48392,1000,726,1.731988820945844,0.1232150299474597,1.8552038508933038,29
1,114021_46842,1000,727,1.781226510880515,0.12689740303903818,1.9081239139195532,29
2,114158_46244,1000,715,2.2902121001388878,0.13507090997882187,2.4252830101177096,46
3,115324_47594,1000,719,2.364482477074489,0.12532262899912894,2.489805106073618,53
4,112501_46003,1000,730,1.2552776359952986,0.0898136799223721,1.3450913159176707,50
5,111092_44658,1000,721,2.024060870986432,0.1124516821000725,2.1365125530865043,70
6,112013_46659,1000,730,1.5172610189765692,0.0873420019634068,1.604603020939976,53
7,111303_47494,1000,727,1.1040278088767081,0.09266833704896271,1.1966961459256709,43
8,111056_45684,1000,710,0.7396556769963354,0.08239081804640591,0.8220464950427413,29
9,114224_47013,1000,697,0.8672161467839032,0.08867809595540166,0.9558942427393049,28
10,105370_45440,1000,728,1.2810671250335872,0.11152762919664383,1.392594754230231,45
11,106490_45366,1000,707,1.7606414039619267,0.11675954284146428,1.877400946803391,63
12,114189_48364,1000,726,0.9365001681726426,0.0886080760974437,1.0251082442700863,29
13,111987_46850,1000,728,2.080362764885649,0.08716748096048832,2.1675302458461374,76
14,109455_47049,1000,724,2.0782170940656215,0.11631818092428148,2.194535274989903,69
15,107862_48318,1000,726,1.0032116489019245,0.09208114398643374,1.0952927928883582,29
16,104677_47868,1000,704,0.8160625291056931,0.08509767497889698,0.9011602040845901,29
17,108720_47582,1000,222,2.0945300380699337,0.13195670512504876,2.2264867431949824,70
18,113997_48510,1000,221,1.4520788439549506,0.12695905100554228,1.5790378949604928,47
19,111712_46826,1000,147,0.8981357628945261,0.08513497514650226,0.9832707380410284,30
20,113155_47122,1000,223,0.7067846930585802,0.08492801408283412,0.7917127071414143,27
21,114001_45860,1000,236,1.9919815459288657,0.11830491595901549,2.110286461887881,61
22,115672_47955,1000,218,1.930987386032939,0.10125044989399612,2.032237835926935,66
23,104476_48487,1000,216,0.7746345980558544,0.084729383001104,0.8593639810569584,27
24,114270_47773,1000,211,1.7344459011219442,0.11626905901357532,1.8507149601355195,59
25,105103_48308,1000,198,0.9177246398758143,0.08622882701456547,1.0039534668903798,27
26,106557_45648,1000,235,1.4457476891111583,0.12528594490140676,1.571033634012565,46
27,113484_47177,1000,728,0.8749398579820991,0.09305575513280928,0.9679956131149083,29
28,115195_48971,1000,78,2.46073578693904,0.08536865399219096,2.546104440931231,82
29,109677_48551,1000,203,1.8074512700550258,0.21600746409967542,2.0234587341547012,70
30,112364_48607,1000,185,0.9342384377960116,0.191483736038208,1.1257221738342196,29
31,114096_46927,1000,6,1.4294507780577987,0.09062656783498824,1.520077345892787,48
