site,n_obs,rmse_log,mae_log,r2_log
115553_48392,726,0.4975849338881035,0.3776037772254705,0.36601241554850406
114021_46842,727,0.5025507432290178,0.39478173594566857,0.11182657737561508
114158_46244,715,0.8230752968111926,0.658602911194322,-0.03203263367415099
115324_47594,719,0.5490594764920936,0.4540075927532125,0.07252452182326452
112501_46003,730,0.812395494200324,0.6209584229027824,-0.046475138067329835
111092_44658,721,1.0471457855390967,0.8668614427163905,-0.802312933833468
112013_46659,730,0.540551355286858,0.42753056357276803,0.28886926296341875
111303_47494,727,0.45053285329353143,0.356749997774901,0.11128037302151583
111056_45684,710,0.5571291931894543,0.4583983013861523,-0.5111159483358712
114224_47013,697,0.48307408391883316,0.3872337570502296,0.05292934109230063
105370_45440,728,0.5280535910790082,0.40441320236794465,0.12355075173731378
106490_45366,707,0.47156283976997987,0.36811953741557907,0.3460544385735641
114189_48364,726,0.6976102881239514,0.5330276224537793,0.09240887911740248
111987_46850,728,0.5633849076484724,0.41307535111626864,0.3040637821811193
109455_47049,724,0.4377688977249861,0.3400787580955496,0.3672198263501585
107862_48318,726,0.520196186694292,0.4005102083596021,0.19781917509377767
104677_47868,704,0.4908099568290155,0.3882902883684311,0.11746177273689651
108720_47582,222,0.4797352991288191,0.3818312966583377,0.3308927798481176
113997_48510,221,0.8200646131385898,0.7110305055208421,-0.5745475977249941
111712_46826,147,0.4290578255067605,0.3356515644606222,0.46614190995131266
113155_47122,223,0.64471849745536,0.5231065402534362,0.07523215946306971
114001_45860,236,0.4078679167225102,0.3297185008891203,0.5791845454641678
115672_47955,218,0.43920220575914776,0.34541639577566846,0.5778955359988469
104476_48487,216,0.4407679565534316,0.3507204278928051,0.38769460578243853
114270_47773,211,0.5563566528884388,0.45349045010060446,0.3541518850849278
105103_48308,198,0.48062583059100045,0.3703519954355721,0.4039766301137573
106557_45648,235,0.4844416847226736,0.4007215790637803,0.17766085399582354
113484_47177,728,0.7532852299845165,0.6182366241734866,-0.12358939064260377
115195_48971,78,1.613657631641916,1.5853171564746047,-49.90417444668087
109677_48551,203,0.4098392590126528,0.330008131875396,-1.1921230379738952
112364_48607,185,0.5880064880632414,0.41242473893293463,-1.0075959663365852
114096_46927,6,0.514433324234576,0.45262230659148095,0.48065617425826523
