timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/27 18:20:36.548, 0, 0 %, 0 %, 1262 MiB, 49140 MiB, 45, 79.05 W
2026/03/27 18:20:36.551, 1, 0 %, 0 %, 6 MiB, 49140 MiB, 32, 16.76 W
2026/03/27 18:20:36.559, 2, 0 %, 0 %, 4 MiB, 49140 MiB, 32, 17.43 W
2026/03/27 18:20:36.567, 3, 0 %, 0 %, 6 MiB, 49140 MiB, 30, 20.41 W
2026/03/27 18:21:06.575, 0, 13 %, 3 %, 1861 MiB, 49140 MiB, 45, 86.08 W
2026/03/27 18:21:06.575, 1, 0 %, 0 %, 272 MiB, 49140 MiB, 34, 17.30 W
2026/03/27 18:21:06.575, 2, 0 %, 0 %, 270 MiB, 49140 MiB, 34, 60.77 W
2026/03/27 18:21:06.575, 3, 0 %, 0 %, 272 MiB, 49140 MiB, 34, 67.13 W
2026/03/27 18:21:36.576, 0, 19 %, 4 %, 1863 MiB, 49140 MiB, 46, 86.54 W
2026/03/27 18:21:36.576, 1, 13 %, 3 %, 606 MiB, 49140 MiB, 38, 73.66 W
2026/03/27 18:21:36.576, 2, 2 %, 1 %, 604 MiB, 49140 MiB, 38, 75.40 W
2026/03/27 18:21:36.576, 3, 19 %, 4 %, 608 MiB, 49140 MiB, 37, 75.10 W
2026/03/27 18:22:06.577, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 47, 88.92 W
2026/03/27 18:22:06.577, 1, 22 %, 4 %, 606 MiB, 49140 MiB, 41, 78.38 W
2026/03/27 18:22:06.577, 2, 5 %, 1 %, 604 MiB, 49140 MiB, 41, 77.78 W
2026/03/27 18:22:06.578, 3, 12 %, 3 %, 608 MiB, 49140 MiB, 39, 75.70 W
2026/03/27 18:22:36.579, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 46, 85.82 W
2026/03/27 18:22:36.579, 1, 0 %, 0 %, 608 MiB, 49140 MiB, 43, 78.98 W
2026/03/27 18:22:36.579, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 43, 79.88 W
2026/03/27 18:22:36.579, 3, 16 %, 3 %, 616 MiB, 49140 MiB, 41, 77.72 W
2026/03/27 18:23:06.580, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 47, 90.08 W
2026/03/27 18:23:06.580, 1, 13 %, 3 %, 608 MiB, 49140 MiB, 44, 79.47 W
2026/03/27 18:23:06.580, 2, 8 %, 2 %, 606 MiB, 49140 MiB, 44, 80.37 W
2026/03/27 18:23:06.580, 3, 23 %, 5 %, 616 MiB, 49140 MiB, 42, 78.73 W
2026/03/27 18:23:36.581, 0, 16 %, 4 %, 1863 MiB, 49140 MiB, 47, 87.40 W
2026/03/27 18:23:36.581, 1, 13 %, 3 %, 608 MiB, 49140 MiB, 45, 77.02 W
2026/03/27 18:23:36.581, 2, 5 %, 1 %, 606 MiB, 49140 MiB, 45, 81.18 W
2026/03/27 18:23:36.582, 3, 5 %, 1 %, 616 MiB, 49140 MiB, 43, 75.77 W
2026/03/27 18:24:06.582, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 47, 87.38 W
2026/03/27 18:24:06.583, 1, 9 %, 2 %, 608 MiB, 49140 MiB, 46, 79.98 W
2026/03/27 18:24:06.583, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 46, 81.22 W
2026/03/27 18:24:06.583, 3, 21 %, 5 %, 616 MiB, 49140 MiB, 43, 78.14 W
2026/03/27 18:24:36.584, 0, 21 %, 4 %, 1863 MiB, 49140 MiB, 47, 86.51 W
2026/03/27 18:24:36.584, 1, 12 %, 2 %, 608 MiB, 49140 MiB, 47, 81.84 W
2026/03/27 18:24:36.584, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 47, 83.93 W
2026/03/27 18:24:36.584, 3, 0 %, 0 %, 616 MiB, 49140 MiB, 44, 78.79 W
2026/03/27 18:25:06.585, 0, 1 %, 0 %, 1863 MiB, 49140 MiB, 47, 87.30 W
2026/03/27 18:25:06.585, 1, 14 %, 3 %, 608 MiB, 49140 MiB, 48, 78.64 W
2026/03/27 18:25:06.585, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 47, 83.14 W
2026/03/27 18:25:06.585, 3, 11 %, 3 %, 616 MiB, 49140 MiB, 44, 78.26 W
2026/03/27 18:25:36.586, 0, 11 %, 2 %, 1863 MiB, 49140 MiB, 47, 86.89 W
2026/03/27 18:25:36.586, 1, 12 %, 2 %, 608 MiB, 49140 MiB, 48, 79.97 W
2026/03/27 18:25:36.586, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 48, 85.01 W
2026/03/27 18:25:36.587, 3, 14 %, 3 %, 616 MiB, 49140 MiB, 45, 80.23 W
2026/03/27 18:26:06.588, 0, 16 %, 4 %, 1863 MiB, 49140 MiB, 47, 88.59 W
2026/03/27 18:26:06.588, 1, 17 %, 4 %, 608 MiB, 49140 MiB, 49, 80.17 W
2026/03/27 18:26:06.588, 2, 17 %, 3 %, 606 MiB, 49140 MiB, 48, 84.14 W
2026/03/27 18:26:06.588, 3, 0 %, 0 %, 616 MiB, 49140 MiB, 45, 79.03 W
2026/03/27 18:26:36.589, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 47, 86.06 W
2026/03/27 18:26:36.589, 1, 13 %, 2 %, 608 MiB, 49140 MiB, 49, 79.98 W
2026/03/27 18:26:36.589, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 49, 83.76 W
2026/03/27 18:26:36.589, 3, 5 %, 1 %, 616 MiB, 49140 MiB, 45, 77.68 W
2026/03/27 18:27:06.590, 0, 12 %, 2 %, 1863 MiB, 49140 MiB, 47, 87.49 W
2026/03/27 18:27:06.591, 1, 13 %, 2 %, 608 MiB, 49140 MiB, 49, 81.88 W
2026/03/27 18:27:06.591, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 49, 86.32 W
2026/03/27 18:27:06.591, 3, 14 %, 3 %, 616 MiB, 49140 MiB, 46, 80.20 W
2026/03/27 18:27:36.592, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 47, 86.99 W
2026/03/27 18:27:36.592, 1, 12 %, 2 %, 608 MiB, 49140 MiB, 49, 79.74 W
2026/03/27 18:27:36.592, 2, 0 %, 0 %, 606 MiB, 49140 MiB, 49, 86.22 W
2026/03/27 18:27:36.592, 3, 14 %, 3 %, 616 MiB, 49140 MiB, 46, 82.42 W
2026/03/27 18:28:06.593, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 47, 88.60 W
2026/03/27 18:28:06.593, 1, 14 %, 3 %, 608 MiB, 49140 MiB, 49, 83.81 W
2026/03/27 18:28:06.593, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 49, 84.70 W
2026/03/27 18:28:06.593, 3, 13 %, 3 %, 616 MiB, 49140 MiB, 46, 79.94 W
2026/03/27 18:28:36.594, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 47, 89.57 W
2026/03/27 18:28:36.595, 1, 9 %, 1 %, 608 MiB, 49140 MiB, 50, 80.11 W
2026/03/27 18:28:36.595, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 85.46 W
2026/03/27 18:28:36.595, 3, 0 %, 0 %, 616 MiB, 49140 MiB, 46, 79.02 W
2026/03/27 18:29:06.596, 0, 2 %, 1 %, 1863 MiB, 49140 MiB, 47, 89.41 W
2026/03/27 18:29:06.596, 1, 7 %, 1 %, 608 MiB, 49140 MiB, 50, 79.17 W
2026/03/27 18:29:06.596, 2, 0 %, 0 %, 606 MiB, 49140 MiB, 50, 85.35 W
2026/03/27 18:29:06.596, 3, 8 %, 2 %, 616 MiB, 49140 MiB, 46, 80.56 W
2026/03/27 18:29:36.597, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 47, 88.07 W
2026/03/27 18:29:36.597, 1, 12 %, 3 %, 608 MiB, 49140 MiB, 50, 81.62 W
2026/03/27 18:29:36.597, 2, 21 %, 5 %, 606 MiB, 49140 MiB, 50, 86.27 W
2026/03/27 18:29:36.597, 3, 12 %, 2 %, 616 MiB, 49140 MiB, 46, 79.79 W
2026/03/27 18:30:06.598, 0, 15 %, 3 %, 1863 MiB, 49140 MiB, 47, 88.35 W
2026/03/27 18:30:06.599, 1, 12 %, 2 %, 608 MiB, 49140 MiB, 50, 79.96 W
2026/03/27 18:30:06.599, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 50, 84.94 W
2026/03/27 18:30:06.599, 3, 0 %, 0 %, 616 MiB, 49140 MiB, 46, 78.75 W
2026/03/27 18:30:36.600, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 47, 86.78 W
2026/03/27 18:30:36.600, 1, 12 %, 3 %, 608 MiB, 49140 MiB, 50, 79.47 W
2026/03/27 18:30:36.600, 2, 6 %, 2 %, 606 MiB, 49140 MiB, 50, 82.58 W
2026/03/27 18:30:36.600, 3, 24 %, 5 %, 616 MiB, 49140 MiB, 46, 81.11 W
2026/03/27 18:31:06.601, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 47, 88.33 W
2026/03/27 18:31:06.601, 1, 0 %, 0 %, 608 MiB, 49140 MiB, 50, 78.86 W
2026/03/27 18:31:06.601, 2, 11 %, 2 %, 606 MiB, 49140 MiB, 50, 85.48 W
2026/03/27 18:31:06.601, 3, 13 %, 3 %, 616 MiB, 49140 MiB, 46, 78.74 W
2026/03/27 18:31:36.602, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 47, 87.48 W
2026/03/27 18:31:36.602, 1, 0 %, 0 %, 608 MiB, 49140 MiB, 50, 83.03 W
2026/03/27 18:31:36.602, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 83.35 W
2026/03/27 18:31:36.602, 3, 14 %, 3 %, 616 MiB, 49140 MiB, 46, 77.85 W
2026/03/27 18:32:06.603, 0, 6 %, 1 %, 1863 MiB, 49140 MiB, 47, 87.40 W
2026/03/27 18:32:06.604, 1, 10 %, 1 %, 608 MiB, 49140 MiB, 50, 81.20 W
2026/03/27 18:32:06.604, 2, 11 %, 2 %, 606 MiB, 49140 MiB, 50, 82.86 W
2026/03/27 18:32:06.604, 3, 11 %, 1 %, 616 MiB, 49140 MiB, 46, 79.25 W
2026/03/27 18:32:36.605, 0, 12 %, 3 %, 1863 MiB, 49140 MiB, 47, 87.64 W
2026/03/27 18:32:36.605, 1, 5 %, 1 %, 608 MiB, 49140 MiB, 50, 79.00 W
2026/03/27 18:32:36.605, 2, 13 %, 2 %, 606 MiB, 49140 MiB, 50, 83.68 W
2026/03/27 18:32:36.605, 3, 13 %, 2 %, 616 MiB, 49140 MiB, 46, 79.07 W
2026/03/27 18:33:06.606, 0, 15 %, 3 %, 1863 MiB, 49140 MiB, 47, 89.41 W
2026/03/27 18:33:06.606, 1, 13 %, 2 %, 608 MiB, 49140 MiB, 50, 80.31 W
2026/03/27 18:33:06.606, 2, 7 %, 2 %, 606 MiB, 49140 MiB, 50, 83.41 W
2026/03/27 18:33:06.606, 3, 15 %, 3 %, 616 MiB, 49140 MiB, 46, 79.79 W
