timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/29 00:56:02.263, 0, 0 %, 0 %, 1527 MiB, 49140 MiB, 48, 79.59 W
2026/03/29 00:56:02.267, 1, 0 %, 0 %, 272 MiB, 49140 MiB, 41, 69.33 W
2026/03/29 00:56:02.270, 2, 0 %, 0 %, 270 MiB, 49140 MiB, 36, 68.43 W
2026/03/29 00:56:02.273, 3, 0 %, 0 %, 272 MiB, 49140 MiB, 36, 67.97 W
2026/03/29 00:56:32.276, 0, 0 %, 0 %, 4763 MiB, 49140 MiB, 50, 115.43 W
2026/03/29 00:56:32.277, 1, 0 %, 0 %, 3508 MiB, 49140 MiB, 48, 116.12 W
2026/03/29 00:56:32.277, 2, 0 %, 0 %, 3506 MiB, 49140 MiB, 41, 100.19 W
2026/03/29 00:56:32.277, 3, 0 %, 0 %, 3508 MiB, 49140 MiB, 42, 111.02 W
2026/03/29 00:57:02.277, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 53, 128.67 W
2026/03/29 00:57:02.278, 1, 21 %, 17 %, 3510 MiB, 49140 MiB, 50, 92.88 W
2026/03/29 00:57:02.278, 2, 8 %, 8 %, 3508 MiB, 49140 MiB, 46, 102.49 W
2026/03/29 00:57:02.278, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 45, 111.08 W
2026/03/29 00:57:32.279, 0, 100 %, 37 %, 4765 MiB, 49140 MiB, 54, 115.63 W
2026/03/29 00:57:32.279, 1, 0 %, 0 %, 3510 MiB, 49140 MiB, 52, 100.32 W
2026/03/29 00:57:32.279, 2, 45 %, 20 %, 3508 MiB, 49140 MiB, 49, 123.63 W
2026/03/29 00:57:32.279, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 48, 118.74 W
2026/03/29 00:58:02.280, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 55, 130.14 W
2026/03/29 00:58:02.281, 1, 0 %, 0 %, 3510 MiB, 49140 MiB, 54, 100.86 W
2026/03/29 00:58:02.281, 2, 86 %, 32 %, 3508 MiB, 49140 MiB, 53, 124.90 W
2026/03/29 00:58:02.281, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 49, 84.91 W
2026/03/29 00:58:32.282, 0, 88 %, 16 %, 4765 MiB, 49140 MiB, 55, 123.02 W
2026/03/29 00:58:32.282, 1, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 110.47 W
2026/03/29 00:58:32.282, 2, 51 %, 33 %, 3508 MiB, 49140 MiB, 55, 124.82 W
2026/03/29 00:58:32.283, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 51, 101.50 W
2026/03/29 00:59:02.283, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 56, 111.54 W
2026/03/29 00:59:02.283, 1, 88 %, 19 %, 3510 MiB, 49140 MiB, 55, 109.97 W
2026/03/29 00:59:02.283, 2, 0 %, 0 %, 3508 MiB, 49140 MiB, 58, 109.25 W
2026/03/29 00:59:02.283, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 52, 101.67 W
2026/03/29 00:59:32.284, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 56, 112.51 W
