[latent10_nodoy] Device: cuda
[latent10_nodoy] K=10, latent_dim=10, beta=1, kl_warmup=0, exclude_doy=True
[latent10_nodoy] 1,883,144 obs, 16 features
[latent10_nodoy] Epoch   1/100 | train=11.0427 (recon=7.8886 kl=3.1541) | val=9.5492 | beta=1.000 | 11s
[latent10_nodoy] Epoch   2/100 | train=9.4251 (recon=5.2285 kl=4.1966) | val=9.3269 | beta=1.000 | 21s
[latent10_nodoy] Epoch   3/100 | train=9.2845 (recon=5.0325 kl=4.2520) | val=9.2292 | beta=1.000 | 32s
[latent10_nodoy] Epoch   4/100 | train=9.2072 (recon=4.9291 kl=4.2781) | val=9.1677 | beta=1.000 | 44s
[latent10_nodoy] Epoch   5/100 | train=9.1570 (recon=4.8649 kl=4.2921) | val=9.1287 | beta=1.000 | 55s
[latent10_nodoy] Epoch   6/100 | train=9.1242 (recon=4.8204 kl=4.3038) | val=9.1079 | beta=1.000 | 64s
[latent10_nodoy] Epoch   7/100 | train=9.1019 (recon=4.7891 kl=4.3128) | val=9.0838 | beta=1.000 | 72s
[latent10_nodoy] Epoch   8/100 | train=9.0846 (recon=4.7626 kl=4.3220) | val=9.0701 | beta=1.000 | 82s
[latent10_nodoy] Epoch   9/100 | train=9.0723 (recon=4.7402 kl=4.3321) | val=9.0521 | beta=1.000 | 90s
[latent10_nodoy] Epoch  10/100 | train=9.0604 (recon=4.7195 kl=4.3409) | val=9.0451 | beta=1.000 | 98s
[latent10_nodoy] Epoch  11/100 | train=9.0489 (recon=4.7004 kl=4.3484) | val=9.0385 | beta=1.000 | 105s
[latent10_nodoy] Epoch  12/100 | train=9.0399 (recon=4.6851 kl=4.3548) | val=9.0281 | beta=1.000 | 112s
[latent10_nodoy] Epoch  13/100 | train=9.0325 (recon=4.6716 kl=4.3609) | val=9.0223 | beta=1.000 | 122s
[latent10_nodoy] Epoch  14/100 | train=9.0263 (recon=4.6628 kl=4.3636) | val=9.0126 | beta=1.000 | 130s
[latent10_nodoy] Epoch  15/100 | train=9.0200 (recon=4.6520 kl=4.3680) | val=9.0097 | beta=1.000 | 139s
[latent10_nodoy] Epoch  16/100 | train=9.0152 (recon=4.6456 kl=4.3696) | val=9.0046 | beta=1.000 | 148s
[latent10_nodoy] Epoch  17/100 | train=9.0093 (recon=4.6361 kl=4.3732) | val=8.9949 | beta=1.000 | 158s
[latent10_nodoy] Epoch  18/100 | train=9.0063 (recon=4.6305 kl=4.3758) | val=8.9934 | beta=1.000 | 166s
[latent10_nodoy] Epoch  19/100 | train=9.0006 (recon=4.6221 kl=4.3785) | val=8.9932 | beta=1.000 | 175s
[latent10_nodoy] Epoch  20/100 | train=8.9971 (recon=4.6159 kl=4.3812) | val=8.9854 | beta=1.000 | 185s
[latent10_nodoy] Epoch  21/100 | train=8.9916 (recon=4.6076 kl=4.3841) | val=8.9832 | beta=1.000 | 196s
[latent10_nodoy] Epoch  22/100 | train=8.9881 (recon=4.6013 kl=4.3867) | val=8.9816 | beta=1.000 | 206s
[latent10_nodoy] Epoch  23/100 | train=8.9834 (recon=4.5953 kl=4.3881) | val=8.9717 | beta=1.000 | 214s
