[latent6_pm25wt] Device: cuda
[latent6_pm25wt] K=10, latent_dim=6, beta=1.0, kl_warmup=0, exclude_doy=True
[latent6_pm25wt] 1,883,144 obs, 16 features
[latent6_pm25wt] Feature weights: [1.634, 2.927, 2.779, 2.597, 2.746, 2.723, 2.961, 1.349, 5.0, 2.413, 2.032, 4.089, 3.325, 1.004, 1.703, 1.537]
[latent6_pm25wt] Epoch   1/100 | train=19.5341 (recon=13.8747 kl=5.6594) | val=15.2999 | beta=1.000 | 7s
[latent6_pm25wt] Epoch   2/100 | train=14.9532 (recon=7.9923 kl=6.9609) | val=14.6821 | beta=1.000 | 15s
[latent6_pm25wt] Epoch   3/100 | train=14.5635 (recon=7.5072 kl=7.0562) | val=14.4287 | beta=1.000 | 21s
[latent6_pm25wt] Epoch   4/100 | train=14.3614 (recon=7.2484 kl=7.1130) | val=14.2709 | beta=1.000 | 27s
[latent6_pm25wt] Epoch   5/100 | train=14.2307 (recon=7.0711 kl=7.1596) | val=14.1635 | beta=1.000 | 34s
[latent6_pm25wt] Epoch   6/100 | train=14.1338 (recon=6.9340 kl=7.1998) | val=14.0876 | beta=1.000 | 41s
[latent6_pm25wt] Epoch   7/100 | train=14.0568 (recon=6.8217 kl=7.2351) | val=14.0084 | beta=1.000 | 48s
[latent6_pm25wt] Epoch   8/100 | train=13.9992 (recon=6.7297 kl=7.2695) | val=13.9593 | beta=1.000 | 55s
[latent6_pm25wt] Epoch   9/100 | train=13.9444 (recon=6.6494 kl=7.2950) | val=13.9190 | beta=1.000 | 62s
[latent6_pm25wt] Epoch  10/100 | train=13.8981 (recon=6.5792 kl=7.3189) | val=13.8696 | beta=1.000 | 68s
[latent6_pm25wt] Epoch  11/100 | train=13.8554 (recon=6.5169 kl=7.3385) | val=13.8123 | beta=1.000 | 76s
[latent6_pm25wt] Epoch  12/100 | train=13.8164 (recon=6.4576 kl=7.3588) | val=13.7858 | beta=1.000 | 83s
[latent6_pm25wt] Epoch  13/100 | train=13.7731 (recon=6.3950 kl=7.3781) | val=13.7431 | beta=1.000 | 90s
[latent6_pm25wt] Epoch  14/100 | train=13.7390 (recon=6.3405 kl=7.3985) | val=13.7073 | beta=1.000 | 98s
[latent6_pm25wt] Epoch  15/100 | train=13.7043 (recon=6.2913 kl=7.4130) | val=13.6742 | beta=1.000 | 105s
[latent6_pm25wt] Epoch  16/100 | train=13.6759 (recon=6.2477 kl=7.4282) | val=13.6356 | beta=1.000 | 112s
[latent6_pm25wt] Epoch  17/100 | train=13.6486 (recon=6.2075 kl=7.4411) | val=13.6231 | beta=1.000 | 120s
[latent6_pm25wt] Epoch  18/100 | train=13.6232 (recon=6.1697 kl=7.4535) | val=13.6006 | beta=1.000 | 127s
[latent6_pm25wt] Epoch  19/100 | train=13.6004 (recon=6.1357 kl=7.4647) | val=13.5748 | beta=1.000 | 134s
[latent6_pm25wt] Epoch  20/100 | train=13.5803 (recon=6.1057 kl=7.4746) | val=13.5481 | beta=1.000 | 141s
[latent6_pm25wt] Epoch  21/100 | train=13.5593 (recon=6.0757 kl=7.4835) | val=13.5327 | beta=1.000 | 149s
[latent6_pm25wt] Epoch  22/100 | train=13.5404 (recon=6.0474 kl=7.4930) | val=13.5256 | beta=1.000 | 157s
[latent6_pm25wt] Epoch  23/100 | train=13.5254 (recon=6.0246 kl=7.5008) | val=13.4962 | beta=1.000 | 164s
[latent6_pm25wt] Epoch  24/100 | train=13.5080 (recon=5.9994 kl=7.5086) | val=13.4885 | beta=1.000 | 172s
[latent6_pm25wt] Epoch  25/100 | train=13.4970 (recon=5.9807 kl=7.5164) | val=13.4745 | beta=1.000 | 179s
[latent6_pm25wt] Epoch  26/100 | train=13.4821 (recon=5.9585 kl=7.5236) | val=13.4560 | beta=1.000 | 185s
[latent6_pm25wt] Epoch  27/100 | train=13.4714 (recon=5.9411 kl=7.5303) | val=13.4566 | beta=1.000 | 193s
[latent6_pm25wt] Epoch  28/100 | train=13.4601 (recon=5.9229 kl=7.5372) | val=13.4445 | beta=1.000 | 200s
[latent6_pm25wt] Epoch  29/100 | train=13.4508 (recon=5.9077 kl=7.5432) | val=13.4299 | beta=1.000 | 208s
[latent6_pm25wt] Epoch  30/100 | train=13.4402 (recon=5.8890 kl=7.5512) | val=13.4162 | beta=1.000 | 214s
[latent6_pm25wt] Epoch  31/100 | train=13.4308 (recon=5.8759 kl=7.5549) | val=13.4102 | beta=1.000 | 222s
[latent6_pm25wt] Epoch  32/100 | train=13.4233 (recon=5.8619 kl=7.5614) | val=13.4212 | beta=1.000 | 228s
[latent6_pm25wt] Epoch  33/100 | train=13.4126 (recon=5.8473 kl=7.5652) | val=13.3972 | beta=1.000 | 237s
[latent6_pm25wt] Epoch  34/100 | train=13.4070 (recon=5.8351 kl=7.5719) | val=13.3822 | beta=1.000 | 244s
[latent6_pm25wt] Epoch  35/100 | train=13.3989 (recon=5.8220 kl=7.5769) | val=13.3905 | beta=1.000 | 251s
